Entity_A,Entity_B,Type,Score
AGT1,ALDH5F1,protein-protein,0.701
AGT1,AKHSDH1,protein-protein,0.729
AGT1,FDH1,protein-protein,0.748
AGT1,AK3,protein-protein,0.764
AGT1,NLP3,protein-protein,0.859
AGT1,GLYR1,protein-protein,0.911
AGT1,OMR1,protein-protein,0.96
AGT1,GLO4,protein-protein,0.967
AGT1,SHM7,protein-protein,0.97
AGT1,SHM2,protein-protein,0.97
AGT1,ALAAT2,protein-protein,0.97
AGT1,HPR3,protein-protein,0.972
AGT1,SHM3,protein-protein,0.977
AGT1,THA1,protein-protein,0.982
AGT1,GGAT2,protein-protein,0.987
AGT1,AGT2,protein-protein,0.99
AGT1,HPR,protein-protein,0.995
ALDH2C4,SHM3,protein-protein,0.406
ALDH2C4,SHM2,protein-protein,0.406
ALDH2C4,L2HGDH,protein-protein,0.407
ALDH2C4,SHM7,protein-protein,0.412
ALDH2C4,BCE2,protein-protein,0.423
ALDH2C4,ACX4,protein-protein,0.454
ALDH2C4,ACX3.2,protein-protein,0.454
ALDH2C4,GLO4,protein-protein,0.47
ALDH2C4,OMR1,protein-protein,0.52
ALDH2C4,THA1,protein-protein,0.529
ALDH2C4,AGT2,protein-protein,0.543
ALDH2C4,FUM2,protein-protein,0.561
ALDH2C4,POX2,protein-protein,0.584
POX2,L2HGDH,protein-protein,0.553
POX2,ALDH3H1,protein-protein,0.584
POX2,ALDH2B4,protein-protein,0.584
POX2,ALDH3F1,protein-protein,0.584
POX2,ALDH5F1,protein-protein,0.584
POX2,ALDH3I1,protein-protein,0.584
POX2,ALDH7B4,protein-protein,0.588
POX2,AGT2,protein-protein,0.624
POX2,ALDH10A8,protein-protein,0.775
ALDH3H1,SHM2,protein-protein,0.423
ALDH3H1,GLO4,protein-protein,0.47
ALDH3H1,OMR1,protein-protein,0.514
ALDH3H1,THA1,protein-protein,0.55
ALDH3H1,ACX4,protein-protein,0.837
ALDH3H1,ACX3.2,protein-protein,0.848
ALDH3H1,BCE2,protein-protein,0.879
ALDH3F1,SHM2,protein-protein,0.4
ALDH3F1,SHM3,protein-protein,0.404
ALDH3F1,GLO4,protein-protein,0.47
ALDH3F1,OMR1,protein-protein,0.514
ALDH3F1,THA1,protein-protein,0.55
ALDH3F1,ACX3.2,protein-protein,0.804
ALDH3F1,ACX4,protein-protein,0.821
ALDH3F1,BCE2,protein-protein,0.879
PPC3,HPR,protein-protein,0.502
PPC3,GGAT2,protein-protein,0.613
PPC3,ALAAT2,protein-protein,0.714
PPC3,FDH1,protein-protein,0.833
PPC3,PPC4,protein-protein,0.913
SHM7,HSK,protein-protein,0.407
SHM7,ALDH2B4,protein-protein,0.409
SHM7,ALDH5F1,protein-protein,0.413
SHM7,LYSA2,protein-protein,0.47
SHM7,LYSA1,protein-protein,0.47
SHM7,ALAAT2,protein-protein,0.49
SHM7,ALDH10A8,protein-protein,0.495
SHM7,AK3,protein-protein,0.512
SHM7,BCE2,protein-protein,0.513
SHM7,HPR,protein-protein,0.513
SHM7,ALDH7B4,protein-protein,0.607
SHM7,SHM3,protein-protein,0.635
SHM7,SHM2,protein-protein,0.635
SHM7,AGT2,protein-protein,0.695
SHM7,GGAT2,protein-protein,0.922
SHM7,THA1,protein-protein,0.946
SHM7,OMR1,protein-protein,0.96
PPC4,AGT2,protein-protein,0.426
PPC4,GGAT2,protein-protein,0.59
PPC4,ALAAT2,protein-protein,0.645
PPC4,L2HGDH,protein-protein,0.692
PPC4,FDH1,protein-protein,0.833
PPC4,PPC1,protein-protein,0.909
PYD3,BCAT5,protein-protein,0.405
PYD3,VPS29,protein-protein,0.46
PYD3,GGAT2,protein-protein,0.565
PYD3,ALAAT2,protein-protein,0.642
HSK,SHM2,protein-protein,0.413
HSK,SHM3,protein-protein,0.415
HSK,FDH1,protein-protein,0.526
HSK,NAGK,protein-protein,0.528
HSK,LYSA1,protein-protein,0.592
HSK,ALAAT2,protein-protein,0.623
HSK,LYSA2,protein-protein,0.721
HSK,AGT2,protein-protein,0.808
HSK,THA1,protein-protein,0.818
HSK,BCAT5,protein-protein,0.868
HSK,OMR1,protein-protein,0.877
HSK,AK3,protein-protein,0.972
HSK,AKHSDH1,protein-protein,0.998
LPEAT1,L2HGDH,protein-protein,0.43
LPEAT1,ACX4,protein-protein,0.465
LPEAT1,ACX3.2,protein-protein,0.484
LPEAT1,AGT2,protein-protein,0.598
LPEAT1,FDH1,protein-protein,0.729
LPEAT1,KCS4,protein-protein,0.735
NLP3,BCAT5,protein-protein,0.407
NLP3,GGAT2,protein-protein,0.449
NLP3,ALAAT2,protein-protein,0.449
NLP3,AGT2,protein-protein,0.578
THA1,ALAAT2,protein-protein,0.448
THA1,FDH1,protein-protein,0.468
THA1,AKHSDH1,protein-protein,0.493
THA1,BCE2,protein-protein,0.509
THA1,ALDH10A8,protein-protein,0.529
THA1,ALDH5F1,protein-protein,0.529
THA1,ALDH2B4,protein-protein,0.529
THA1,ALDH3I1,protein-protein,0.55
THA1,ALDH7B4,protein-protein,0.583
THA1,HGO,protein-protein,0.627
THA1,AK3,protein-protein,0.719
THA1,LKR/SDH,protein-protein,0.839
THA1,GGAT2,protein-protein,0.913
THA1,SHM3,protein-protein,0.929
THA1,AGT2,protein-protein,0.937
THA1,SHM2,protein-protein,0.939
THA1,OMR1,protein-protein,0.989
ALDH3I1,GLO4,protein-protein,0.47
ALDH3I1,OMR1,protein-protein,0.515
ALDH3I1,ACX3.2,protein-protein,0.798
ALDH3I1,ACX4,protein-protein,0.8
ALDH3I1,BCE2,protein-protein,0.879
AGT2,BGLU42,protein-protein,0.403
AGT2,VPS29,protein-protein,0.433
AGT2,PAHX,protein-protein,0.443
AGT2,DPL1,protein-protein,0.494
AGT2,LYSA1,protein-protein,0.539
AGT2,LYSA2,protein-protein,0.539
AGT2,RAT5,protein-protein,0.541
AGT2,KCS4,protein-protein,0.571
AGT2,ACX4,protein-protein,0.669
AGT2,GLO4,protein-protein,0.681
AGT2,SHM2,protein-protein,0.695
AGT2,SHM3,protein-protein,0.695
AGT2,ACX3.2,protein-protein,0.708
AGT2,FDH1,protein-protein,0.814
AGT2,HGO,protein-protein,0.822
AGT2,HPR,protein-protein,0.827
AGT2,HPR3,protein-protein,0.827
AGT2,BCE2,protein-protein,0.836
AGT2,OMR1,protein-protein,0.856
AGT2,ALAAT2,protein-protein,0.957
AGT2,BCAT5,protein-protein,0.96
AGT2,GGAT2,protein-protein,0.979
LYSA1,BCAT5,protein-protein,0.408
LYSA1,FUM2,protein-protein,0.443
LYSA1,NAGK,protein-protein,0.455
LYSA1,HPR,protein-protein,0.458
LYSA1,SHM2,protein-protein,0.482
LYSA1,SHM3,protein-protein,0.564
LYSA1,GGAT2,protein-protein,0.582
LYSA1,ALAAT2,protein-protein,0.664
LYSA1,OMR1,protein-protein,0.738
LYSA1,AKHSDH1,protein-protein,0.783
LYSA1,AK3,protein-protein,0.837
LYSA1,LYSA2,protein-protein,0.918
LYSA1,LKR/SDH,protein-protein,0.967
LYSA2,FUM2,protein-protein,0.443
LYSA2,HPR,protein-protein,0.466
LYSA2,SHM2,protein-protein,0.48
LYSA2,SHM3,protein-protein,0.49
LYSA2,GGAT2,protein-protein,0.582
LYSA2,NAGK,protein-protein,0.647
LYSA2,ALAAT2,protein-protein,0.665
LYSA2,OMR1,protein-protein,0.733
LYSA2,AKHSDH1,protein-protein,0.777
LYSA2,AK3,protein-protein,0.887
LYSA2,LKR/SDH,protein-protein,0.967
SHM2,ALDH5F1,protein-protein,0.413
SHM2,ALAAT2,protein-protein,0.468
SHM2,NAGK,protein-protein,0.468
SHM2,ALDH10A8,protein-protein,0.491
SHM2,AK3,protein-protein,0.503
SHM2,BCE2,protein-protein,0.513
SHM2,ALDH2B4,protein-protein,0.522
SHM2,HPR,protein-protein,0.601
SHM2,ALDH7B4,protein-protein,0.612
SHM2,SHM3,protein-protein,0.714
SHM2,GGAT2,protein-protein,0.922
SHM2,OMR1,protein-protein,0.959
SHM3,ALDH2B4,protein-protein,0.411
SHM3,ALDH5F1,protein-protein,0.417
SHM3,ALAAT2,protein-protein,0.492
SHM3,ALDH10A8,protein-protein,0.506
SHM3,BCE2,protein-protein,0.513
SHM3,AK3,protein-protein,0.535
SHM3,ALDH7B4,protein-protein,0.608
SHM3,HPR,protein-protein,0.733
SHM3,GGAT2,protein-protein,0.924
SHM3,OMR1,protein-protein,0.963
ACX4,HGO,protein-protein,0.436
ACX4,ALDH5F1,protein-protein,0.481
ACX4,ALDH10A8,protein-protein,0.49
ACX4,PAHX,protein-protein,0.564
ACX4,ALDH7B4,protein-protein,0.804
ACX4,ALDH2B4,protein-protein,0.823
ACX4,ACX3.2,protein-protein,0.903
ACX4,BCE2,protein-protein,0.947
DPL1,LKR/SDH,protein-protein,0.501
HPR,BCE2,protein-protein,0.44
HPR,BCAT5,protein-protein,0.441
HPR,ALAAT2,protein-protein,0.477
HPR,GLYR1,protein-protein,0.921
HPR,HPR3,protein-protein,0.935
HPR,GLO4,protein-protein,0.964
HPR,GGAT2,protein-protein,0.984
FUM2,BCE2,protein-protein,0.62
FUM2,FDH1,protein-protein,0.85
FUM2,ALAAT2,protein-protein,0.881
FUM2,GGAT2,protein-protein,0.893
BGLU42,FDH1,protein-protein,0.542
BCAT5,HPR3,protein-protein,0.407
BCAT5,FDH1,protein-protein,0.407
BCAT5,BCE2,protein-protein,0.518
BCAT5,AKHSDH1,protein-protein,0.882
BCAT5,OMR1,protein-protein,0.943
ALAAT2,OMR1,protein-protein,0.412
ALAAT2,BCE2,protein-protein,0.417
ALAAT2,LKR/SDH,protein-protein,0.417
ALAAT2,HGO,protein-protein,0.457
ALAAT2,GAD4,protein-protein,0.498
ALAAT2,AKHSDH1,protein-protein,0.586
ALAAT2,PPC1,protein-protein,0.666
ALAAT2,AK3,protein-protein,0.676
ALAAT2,GGAT2,protein-protein,0.916
HPR3,BCE2,protein-protein,0.438
HPR3,GLO4,protein-protein,0.926
HPR3,GGAT2,protein-protein,0.929
HPR3,GLYR1,protein-protein,0.952
L2HGDH,FDH1,protein-protein,0.557
L2HGDH,PAHX,protein-protein,0.799
GLO4,ALDH5F1,protein-protein,0.47
GLO4,ALDH10A8,protein-protein,0.47
GLO4,ALDH7B4,protein-protein,0.47
GLO4,ALDH2B4,protein-protein,0.47
GLO4,GLYR1,protein-protein,0.9
GLO4,GGAT2,protein-protein,0.958
ACX3.2,ALDH10A8,protein-protein,0.454
ACX3.2,ALDH5F1,protein-protein,0.454
ACX3.2,PAHX,protein-protein,0.643
ACX3.2,ALDH7B4,protein-protein,0.772
ACX3.2,ALDH2B4,protein-protein,0.782
ACX3.2,BCE2,protein-protein,0.942
KCS4,FDH1,protein-protein,0.574
GLYR1,GGAT2,protein-protein,0.901
BCE2,ALDH10A8,protein-protein,0.423
BCE2,FDH1,protein-protein,0.438
BCE2,OMR1,protein-protein,0.461
BCE2,LKR/SDH,protein-protein,0.491
BCE2,HGO,protein-protein,0.619
BCE2,ALDH5F1,protein-protein,0.723
BCE2,ALDH2B4,protein-protein,0.879
BCE2,ALDH7B4,protein-protein,0.886
PPC1,GGAT2,protein-protein,0.588
PPC1,FDH1,protein-protein,0.833
AK3,PAHX,protein-protein,0.478
AK3,GGAT2,protein-protein,0.499
AK3,OMR1,protein-protein,0.875
ALDH10A8,OMR1,protein-protein,0.52
GGAT2,GAD4,protein-protein,0.4
GGAT2,AKHSDH1,protein-protein,0.519
AKHSDH1,OMR1,protein-protein,0.886
ALDH5F1,OMR1,protein-protein,0.645
LKR/SDH,OMR1,protein-protein,0.528
LKR/SDH,HGO,protein-protein,0.793
ALDH2B4,OMR1,protein-protein,0.52
ALDH7B4,HGO,protein-protein,0.501
ALDH7B4,OMR1,protein-protein,0.501
HGO,OMR1,protein-protein,0.576
NAGS2,PYRB,protein-protein,0.644
NAGS2,ASP5,protein-protein,0.911
NAGS2,ASP1,protein-protein,0.912
PYR4,LYSA2,protein-protein,0.401
PYR4,RPA1B,protein-protein,0.542
PYR4,PYD2,protein-protein,0.738
PYR4,PYD1,protein-protein,0.973
PYR4,PYRB,protein-protein,0.989
PYR4,PYRD,protein-protein,0.996
SHM4,ASP1,protein-protein,0.409
SHM4,PSAT1,protein-protein,0.574
AK2,PSAT1,protein-protein,0.717
GER1,HPR,protein-protein,0.418
GER1,UGLYAH,protein-protein,0.54
GER1,BGLU40,protein-protein,0.54
OTC,PYRB,protein-protein,0.976
AKHSDH2,PSAT1,protein-protein,0.695
PYRD,LYSA2,protein-protein,0.409
PYRD,OMR1,protein-protein,0.415
PYRD,POX2,protein-protein,0.422
PYRD,LYSA1,protein-protein,0.431
PYRD,APT3,protein-protein,0.487
PYRD,URH2,protein-protein,0.801
PYRD,PYD1,protein-protein,0.827
PYRD,PYD3,protein-protein,0.868
PYRD,PYRB,protein-protein,0.987
PYRD,PYD2,protein-protein,0.988
NIT4,PYD2,protein-protein,0.632
ASP5,HGO,protein-protein,0.526
ASP5,PPC4,protein-protein,0.635
ASP5,LYSA1,protein-protein,0.657
ASP5,LYSA2,protein-protein,0.66
ASP5,NLP3,protein-protein,0.906
ASP5,GGAT2,protein-protein,0.949
ASP5,ALAAT2,protein-protein,0.959
GSH1,PYD1,protein-protein,0.484
ARGAH1,PYD2,protein-protein,0.447
ARGAH1,PYRB,protein-protein,0.649
ASP1,SHM3,protein-protein,0.4
ASP1,SHM2,protein-protein,0.411
ASP1,HSK,protein-protein,0.476
ASP1,PPC4,protein-protein,0.513
ASP1,HGO,protein-protein,0.526
ASP1,LYSA1,protein-protein,0.657
ASP1,LYSA2,protein-protein,0.66
ASP1,NLP3,protein-protein,0.903
ASP1,GGAT2,protein-protein,0.933
ASP1,ALAAT2,protein-protein,0.952
PYRB,ALAAT2,protein-protein,0.403
PYRB,OMR1,protein-protein,0.433
PYRB,GGAT2,protein-protein,0.438
PYRB,HSK,protein-protein,0.596
PYRB,URH2,protein-protein,0.609
PYRB,LYSA2,protein-protein,0.719
PYRB,LYSA1,protein-protein,0.722
PYRB,PYD2,protein-protein,0.967
PYRB,PYD1,protein-protein,0.978
ASN1,GGAT2,protein-protein,0.402
ASN1,ALAAT2,protein-protein,0.406
ASN1,PSAT1,protein-protein,0.44
ASN1,POX2,protein-protein,0.582
ASN1,THA1,protein-protein,0.62
ASN1,AGT1,protein-protein,0.752
AGT1,PSAT1,protein-protein,0.696
SHM7,UGLYAH,protein-protein,0.4
SHM7,PSAT1,protein-protein,0.616
UGLYAH,PYD3,protein-protein,0.598
UGLYAH,BGLU40,protein-protein,0.64
UGLYAH,PYD1,protein-protein,0.704
UGLYAH,PYD2,protein-protein,0.716
PYD3,URH2,protein-protein,0.797
PYD3,PYD1,protein-protein,0.993
PYD3,PYD2,protein-protein,0.998
HSK,PSAT1,protein-protein,0.708
URH2,APT3,protein-protein,0.508
URH2,PYD2,protein-protein,0.79
URH2,PYD1,protein-protein,0.846
NLP3,PYD2,protein-protein,0.635
LYSA2,PSAT1,protein-protein,0.51
SHM2,PSAT1,protein-protein,0.56
SHM3,PSAT1,protein-protein,0.576
PSAT1,PPC1,protein-protein,0.401
PSAT1,NAGK,protein-protein,0.409
PSAT1,ALAAT2,protein-protein,0.475
PSAT1,HPR3,protein-protein,0.545
PSAT1,AKHSDH1,protein-protein,0.685
PSAT1,AK3,protein-protein,0.717
PSAT1,HPR,protein-protein,0.768
PYD2,PYD1,protein-protein,0.999
PYD1,APT3,protein-protein,0.487
BIO3-BIO1,MCCA,protein-protein,0.502
BIO3-BIO1,IPMS2,protein-protein,0.506
BIO3-BIO1,FUM2,protein-protein,0.554
BIO3-BIO1,FUM1,protein-protein,0.554
BIO3-BIO1,ASN1,protein-protein,0.556
BIO3-BIO1,ASN3,protein-protein,0.57
BIO3-BIO1,AKHSDH1,protein-protein,0.582
BIO3-BIO1,AKHSDH2,protein-protein,0.589
BIO3-BIO1,AK2,protein-protein,0.601
BIO3-BIO1,AK3,protein-protein,0.601
BIO3-BIO1,PYRB,protein-protein,0.62
BIO3-BIO1,POX2,protein-protein,0.688
SUD1,ASN1,protein-protein,0.4
PGDH2,HISN6B,protein-protein,0.416
PGDH2,HISN8,protein-protein,0.421
PGDH2,NIR1,protein-protein,0.43
PGDH2,HACL,protein-protein,0.43
PGDH2,ASN1,protein-protein,0.435
PGDH2,ASN3,protein-protein,0.435
PGDH2,THA1,protein-protein,0.438
PGDH2,LKR/SDH,protein-protein,0.441
PGDH2,PYRB,protein-protein,0.498
PGDH2,MGL,protein-protein,0.505
PGDH2,AKHSDH1,protein-protein,0.516
PGDH2,AKHSDH2,protein-protein,0.518
PGDH2,IPMS2,protein-protein,0.533
PGDH2,FUM2,protein-protein,0.583
PGDH2,FUM1,protein-protein,0.591
PGDH2,AK2,protein-protein,0.724
PGDH2,AK3,protein-protein,0.725
PGDH2,PGDH3,protein-protein,0.903
PGDH2,AGT1,protein-protein,0.942
PGDH2,PGDH1,protein-protein,0.947
PGDH2,PSP,protein-protein,0.971
PGDH2,PSAT1,protein-protein,0.998
AK2,IPMS2,protein-protein,0.432
AK2,GSA1,protein-protein,0.601
AK2,GSA2,protein-protein,0.621
AK2,PGDH1,protein-protein,0.645
AK2,PGDH3,protein-protein,0.732
AK2,HISN8,protein-protein,0.767
AK2,MGL,protein-protein,0.799
AK2,PSP,protein-protein,0.806
AK2,HISN6B,protein-protein,0.863
PGDH1,HISN6B,protein-protein,0.416
PGDH1,HISN8,protein-protein,0.421
PGDH1,LKR/SDH,protein-protein,0.426
PGDH1,ASN1,protein-protein,0.435
PGDH1,THA1,protein-protein,0.438
PGDH1,ASN3,protein-protein,0.448
PGDH1,NIR1,protein-protein,0.467
PGDH1,PYRB,protein-protein,0.512
PGDH1,AKHSDH1,protein-protein,0.516
PGDH1,AKHSDH2,protein-protein,0.518
PGDH1,IPMS2,protein-protein,0.534
PGDH1,FUM2,protein-protein,0.583
PGDH1,AK3,protein-protein,0.648
PGDH1,FUM1,protein-protein,0.726
PGDH1,PGDH3,protein-protein,0.902
PGDH1,AGT1,protein-protein,0.906
PGDH1,PSP,protein-protein,0.968
PGDH1,PSAT1,protein-protein,0.997
AKHSDH2,PGDH3,protein-protein,0.545
AKHSDH2,IPMS2,protein-protein,0.567
AKHSDH2,GSA1,protein-protein,0.595
AKHSDH2,GSA2,protein-protein,0.603
AKHSDH2,HISN6B,protein-protein,0.713
AKHSDH2,MGL,protein-protein,0.839
AKHSDH2,HISN8,protein-protein,0.863
AKHSDH2,PSP,protein-protein,0.935
PSP,POX2,protein-protein,0.414
PSP,ASN1,protein-protein,0.486
PSP,IPMS2,protein-protein,0.586
PSP,MGL,protein-protein,0.603
PSP,HISN6B,protein-protein,0.752
PSP,AK3,protein-protein,0.807
PSP,THA1,protein-protein,0.823
PSP,HISN8,protein-protein,0.909
PSP,AKHSDH1,protein-protein,0.931
PSP,PGDH3,protein-protein,0.944
PSP,AGT1,protein-protein,0.989
PSP,PSAT1,protein-protein,0.998
NRT2.1,GLT1,protein-protein,0.449
NRT2.1,ASN1,protein-protein,0.719
NRT2.1,NIR1,protein-protein,0.992
HISN6B,PYRB,protein-protein,0.403
HISN6B,PGDH3,protein-protein,0.416
HISN6B,IPMS2,protein-protein,0.423
HISN6B,GGAT2,protein-protein,0.44
HISN6B,APL3,protein-protein,0.452
HISN6B,ASP5,protein-protein,0.458
HISN6B,ASP1,protein-protein,0.459
HISN6B,DELTA-OAT,protein-protein,0.508
HISN6B,HACL,protein-protein,0.55
HISN6B,FUM1,protein-protein,0.587
HISN6B,FUM2,protein-protein,0.587
HISN6B,ASN1,protein-protein,0.694
HISN6B,ASN3,protein-protein,0.694
HISN6B,AKHSDH1,protein-protein,0.713
HISN6B,AK3,protein-protein,0.863
HISN6B,HISN8,protein-protein,0.987
GSA1,IPMS2,protein-protein,0.453
GSA1,FUM2,protein-protein,0.554
GSA1,ASN3,protein-protein,0.556
GSA1,ASN1,protein-protein,0.556
GSA1,FUM1,protein-protein,0.569
GSA1,AKHSDH1,protein-protein,0.582
GSA1,AK3,protein-protein,0.601
GSA1,PYRB,protein-protein,0.628
GSA1,POX2,protein-protein,0.674
GSA1,GSA2,protein-protein,0.929
NIT4,GATA,protein-protein,0.455
NIT4,AMI1,protein-protein,0.52
ASP3,GGAT2,protein-protein,0.932
ASP3,ALAAT2,protein-protein,0.948
PYRB,PGDH3,protein-protein,0.557
PYRB,GATB,protein-protein,0.61
PYRB,GSA2,protein-protein,0.621
PYRB,GATA,protein-protein,0.637
PYRB,AMI1,protein-protein,0.637
ASN1,HXK1,protein-protein,0.4
ASN1,IPMS2,protein-protein,0.405
ASN1,APL3,protein-protein,0.412
ASN1,PGDH3,protein-protein,0.435
ASN1,HISN8,protein-protein,0.469
ASN1,MGL,protein-protein,0.486
ASN1,MCCA,protein-protein,0.496
ASN1,GATA,protein-protein,0.55
ASN1,AMI1,protein-protein,0.551
ASN1,GSA2,protein-protein,0.556
ASN1,BXL1,protein-protein,0.634
ASN1,GATB,protein-protein,0.744
ASN1,NIR1,protein-protein,0.755
ASN1,RFS6,protein-protein,0.81
ASN1,SCE1,protein-protein,0.892
APL3,HISN8,protein-protein,0.423
APL3,HACL,protein-protein,0.47
APL3,HXK1,protein-protein,0.812
FUM1,GSA2,protein-protein,0.564
FUM1,PGDH3,protein-protein,0.583
FUM1,HISN8,protein-protein,0.684
NIR1,PGDH3,protein-protein,0.432
NIR1,HISN8,protein-protein,0.541
NIR1,ASN3,protein-protein,0.556
NIR1,MGL,protein-protein,0.751
NIR1,GLT1,protein-protein,0.942
GSA2,IPMS2,protein-protein,0.466
GSA2,ASN3,protein-protein,0.562
GSA2,FUM2,protein-protein,0.567
GSA2,AKHSDH1,protein-protein,0.594
GSA2,AK3,protein-protein,0.601
GSA2,POX2,protein-protein,0.674
MCCA,DELTA-OAT,protein-protein,0.414
MCCA,FUM2,protein-protein,0.433
MCCA,GLT1,protein-protein,0.529
MCCA,THA1,protein-protein,0.635
MCCA,GATA,protein-protein,0.636
MCCA,GATB,protein-protein,0.643
MCCA,AMI1,protein-protein,0.649
MCCA,IPMS2,protein-protein,0.656
HXK1,RFS6,protein-protein,0.571
SCE1,ASN3,protein-protein,0.686
AGT1,IPMS2,protein-protein,0.454
AGT1,ASN3,protein-protein,0.784
AGT1,HACL,protein-protein,0.799
AGT1,PGDH3,protein-protein,0.946
POX2,DELTA-OAT,protein-protein,0.951
RFS6,BXL1,protein-protein,0.435
THA1,DELTA-OAT,protein-protein,0.407
THA1,HISN8,protein-protein,0.411
THA1,PGDH3,protein-protein,0.438
THA1,MGL,protein-protein,0.765
PSAT1,HACL,protein-protein,0.419
PSAT1,ASN3,protein-protein,0.44
PSAT1,HISN8,protein-protein,0.54
PSAT1,MGL,protein-protein,0.625
PSAT1,PGDH3,protein-protein,0.997
IPMS2,AKHSDH1,protein-protein,0.517
IPMS2,HACL,protein-protein,0.58
IPMS2,PGDH3,protein-protein,0.594
IPMS2,HISN8,protein-protein,0.618
HISN8,GLT1,protein-protein,0.405
HISN8,ASN3,protein-protein,0.409
HISN8,PGDH3,protein-protein,0.432
HISN8,ALAAT2,protein-protein,0.466
HISN8,HACL,protein-protein,0.476
HISN8,FUM2,protein-protein,0.684
HISN8,AK3,protein-protein,0.763
HISN8,AKHSDH1,protein-protein,0.863
FUM2,PGDH3,protein-protein,0.608
DELTA-OAT,GGAT2,protein-protein,0.435
DELTA-OAT,ALAAT2,protein-protein,0.444
AMI1,GLT1,protein-protein,0.52
AMI1,ASN3,protein-protein,0.55
AMI1,GATB,protein-protein,0.996
GATB,GLT1,protein-protein,0.649
GATB,ASN3,protein-protein,0.749
GATB,GATA,protein-protein,0.999
ALAAT2,MGL,protein-protein,0.404
ASN3,GGAT2,protein-protein,0.412
ASN3,PGDH3,protein-protein,0.435
ASN3,GATA,protein-protein,0.551
GATA,GLT1,protein-protein,0.52
PGDH3,LKR/SDH,protein-protein,0.426
PGDH3,GGAT2,protein-protein,0.448
PGDH3,AKHSDH1,protein-protein,0.535
PGDH3,AK3,protein-protein,0.69
AK3,MGL,protein-protein,0.799
AKHSDH1,MGL,protein-protein,0.832
MGL,LKR/SDH,protein-protein,0.757
BIO3-BIO1,NAGK,protein-protein,0.804
PGDH2,HMT-2,protein-protein,0.419
PGDH2,OMR1,protein-protein,0.469
PGDH2,SHM2,protein-protein,0.759
AK2,HMT-2,protein-protein,0.626
AK2,DAPF,protein-protein,0.951
PGDH1,HMT-2,protein-protein,0.419
PGDH1,OMR1,protein-protein,0.48
PGDH1,DAPF,protein-protein,0.483
PGDH1,HSK,protein-protein,0.512
PGDH1,SHM2,protein-protein,0.735
AKHSDH2,DAPF,protein-protein,0.88
AKHSDH2,HMT-2,protein-protein,0.893
HISN6B,OMR1,protein-protein,0.436
GSA1,DAPF,protein-protein,0.565
GSA1,NAGK,protein-protein,0.816
ASP3,SHM2,protein-protein,0.531
PYRB,DAPF,protein-protein,0.54
FUM1,DAPF,protein-protein,0.468
FUM1,VHA-B3,protein-protein,0.543
NIR1,HSK,protein-protein,0.4
GSA2,DAPF,protein-protein,0.546
GSA2,NAGK,protein-protein,0.812
SCE1,OMR1,protein-protein,0.899
AGT1,HMT-2,protein-protein,0.649
HSK,ASN3,protein-protein,0.538
HSK,HACL,protein-protein,0.557
HSK,HISN8,protein-protein,0.718
HSK,DAPF,protein-protein,0.762
HSK,HMT-2,protein-protein,0.906
OVA7,GATA,protein-protein,0.407
OVA7,SHM2,protein-protein,0.431
OVA7,ASN3,protein-protein,0.441
OVA7,GATB,protein-protein,0.49
VHA-B3,ASN3,protein-protein,0.516
VHA-B3,FUM2,protein-protein,0.543
VHA-B3,GATB,protein-protein,0.547
SHM2,DAPF,protein-protein,0.439
SHM2,ASN3,protein-protein,0.459
SHM2,HISN8,protein-protein,0.47
SHM2,HMT-2,protein-protein,0.578
SHM2,PGDH3,protein-protein,0.657
HISN8,NAGK,protein-protein,0.473
HISN8,DAPF,protein-protein,0.559
FUM2,DAPF,protein-protein,0.465
DELTA-OAT,OMR1,protein-protein,0.512
AMI1,DAPF,protein-protein,0.605
GATB,DAPF,protein-protein,0.81
HACL,OMR1,protein-protein,0.789
DAPF,ASN3,protein-protein,0.418
DAPF,OMR1,protein-protein,0.543
DAPF,GGAT2,protein-protein,0.549
DAPF,HMT-2,protein-protein,0.601
DAPF,GATA,protein-protein,0.619
DAPF,NAGK,protein-protein,0.658
DAPF,GLT1,protein-protein,0.674
DAPF,AKHSDH1,protein-protein,0.875
DAPF,AK3,protein-protein,0.951
ASN3,OMR1,protein-protein,0.405
ASN3,HMT-2,protein-protein,0.472
PGDH3,HMT-2,protein-protein,0.419
PGDH3,OMR1,protein-protein,0.488
HMT-2,AK3,protein-protein,0.627
HMT-2,AKHSDH1,protein-protein,0.893
HMT-2,OMR1,protein-protein,0.896
LPD1,NLP3,protein-protein,0.429
LPD1,BCAT5,protein-protein,0.437
LPD1,DAAT,protein-protein,0.437
LPD1,ADT1,protein-protein,0.548
LPD1,LKHA4,protein-protein,0.609
LPD1,MDH3,protein-protein,0.62
LPD1,IDH1,protein-protein,0.623
LPD1,IDH3,protein-protein,0.623
LPD1,IDH5,protein-protein,0.644
LPD1,ACLA-1,protein-protein,0.723
LPD1,MDH1,protein-protein,0.731
LPD1,ACLB-1,protein-protein,0.754
LPD1,ICDH,protein-protein,0.816
LPD1,GGAT2,protein-protein,0.863
LPD1,AGT1,protein-protein,0.92
PSS1,NLP3,protein-protein,0.424
P4H10,NLP3,protein-protein,0.545
NMNAT,NLP3,protein-protein,0.706
NMNAT,NUDT19,protein-protein,0.93
NMNAT,NAPRT1,protein-protein,0.996
NMNAT,NAPRT2,protein-protein,0.996
NMNAT,QPT,protein-protein,0.998
